customer_id;full_name;gender;phone_number;province;email;created_at;data_source_note;source_reference;account_status;wallet_verified;risk_level
MOZ0001;Phạm Hồng Ngọc;Nữ;379263289;Đắk Lắk;phamhongngoc0001@mock.invalid;2025-12-11 12:31:04;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0002;Trần Bảo Hán;Nữ;970997310;Vĩnh Phúc;tranbaohan0002@mock.invalid;2025-08-19 17:33:28;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0003;Vương Bảo Vinh Duy;Nam;810582367;Khánh Hòa;vuongbaovinhduy0003@mock.invalid;2025-02-14 02:05:33;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0004;Tư Công Cát;Nam;350118633;Hà Nội;tucongcat0004@mock.invalid;2025-07-21 19:43:14;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0005;Vũ Quang Nam Thất;Nam;859189882;Hà Nội;vuquangnamthat0005@mock.invalid;2025-08-14 21:59:54;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0006;Đoàn Ngọc Thư;Nữ;322647866;Đồng Nai;doanngocthu0006@mock.invalid;2025-05-28 23:01:06;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0007;Dương Văn Căn;Nam;859553967;Bến Tre;duongvancan0007@mock.invalid;2025-05-28 10:07:24;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0008;Trần Gia Cát;Nam;778626546;Cà Mau;trangiacat0008@mock.invalid;2025-06-13 05:57:32;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0009;Phạm Gia Trí;Nam;884071135;Nam Định;phamgiatri0009@mock.invalid;2026-01-24 11:11:36;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0010;La Ngọc Trang Mai;Nữ;389887361;Long An;langoctrangmai0010@mock.invalid;2025-07-16 20:36:42;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0011;Phùng Trọng Quang An;Nam;368018018;Quảng Ninh;phungtrongquangan0011@mock.invalid;2025-03-15 00:00:23;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0012;Tạ Kim Ngân Dạ;Nữ;328376871;TP. Hồ Chí Minh;takimnganda0012@mock.invalid;2025-02-11 03:01:09;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0013;Thái Nhật Trí;Nam;885178144;Hải Dương;thainhattri0013@mock.invalid;2025-03-11 23:41:26;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0014;Triệu Hồng Dung;Nữ;328115343;Hà Nội;trieuhongdung0014@mock.invalid;2025-08-14 13:13:42;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0015;Phạm Mai Hương;Nữ;785358586;Hải Dương;phammaihuong0015@mock.invalid;2025-05-25 23:18:02;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
MOZ0016;Dương Hoài Hạnh;Nữ;889589712;Nam Định;duonghoaihanh0016@mock.invalid;2025-06-23 04:33:45;"Firecrawl was used for public Vietnamese-name references; contact records/phone numbers are synthetic mock data, not real PII.";"https://en.wikipedia.org/wiki/Vietnamese_name; https://en.wikipedia.org/wiki/List_of_common_Vietnamese_surnames";active;True;low
